"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1734088756","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1734088757","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,9,0,47,41,8,65,89238
"1734088758","3","","Aggregated",0.00,0.00,37,44,52,75,85,130,130,130,130,130,130,130,21,0,41,45,6,134,98986
"1734088759","4","","Aggregated",6.00,0.00,37,48,52,60,69,85,130,130,130,130,130,130,49,0,37,40,5,134,89327
"1734088760","5","","Aggregated",9.00,0.00,34,46,51,53,70,88,110,130,130,130,130,130,77,0,34,38,4,134,80715
"1734088761","6","","Aggregated",13.67,0.00,35,47,55,62,74,85,94,110,130,130,130,130,116,0,35,39,4,134,82011
"1734088762","6","","Aggregated",17.25,0.00,35,48,52,60,75,85,110,110,130,130,130,130,156,0,35,39,4,134,80186
"1734088763","6","","Aggregated",19.80,0.00,37,49,55,62,79,88,120,130,140,140,140,140,191,0,37,40,4,140,86031
"1734088764","6","","Aggregated",24.00,0.00,35,47,53,58,75,88,120,130,140,140,140,140,239,0,35,39,4,140,84332
"1734088765","6","","Aggregated",25.71,0.00,35,48,54,59,75,90,120,130,140,140,140,140,284,0,35,40,4,140,83972
"1734088766","6","","Aggregated",27.50,0.00,35,47,54,59,75,90,120,130,140,140,140,140,326,0,35,39,4,140,83238
"1734088767","6","","Aggregated",29.56,0.00,35,47,53,58,73,88,120,130,140,140,140,140,370,0,35,39,4,140,81703
"1734088768","6","","Aggregated",31.10,0.00,34,47,54,58,74,92,120,130,140,140,140,140,410,0,35,39,4,140,82926
"1734088769","6","","Aggregated",35.10,0.00,34,47,54,58,75,94,120,130,140,140,140,140,456,0,34,39,4,140,83166
"1734088770","6","","Aggregated",37.80,0.00,34,47,53,58,75,94,120,130,140,140,140,140,507,0,34,38,4,140,83641
"1734088771","6","","Aggregated",39.70,0.00,34,46,53,58,77,94,120,130,140,140,140,140,552,0,34,38,4,140,84089
"1734088772","6","","Aggregated",41.90,0.00,33,45,53,57,73,91,110,130,140,140,140,140,591,0,34,38,4,140,83569
"1734088773","6","","Aggregated",43.40,0.00,33,46,54,58,73,90,110,130,140,140,140,140,641,0,34,38,4,140,84027
"1734088774","6","","Aggregated",43.00,0.00,33,45,53,58,73,90,110,130,140,140,140,140,687,0,34,38,4,140,83334
"1734088775","6","","Aggregated",44.80,0.00,31,43,50,55,72,89,110,130,140,140,140,140,732,0,33,37,4,140,82248
"1734088776","6","","Aggregated",45.00,0.00,31,43,51,55,73,89,100,120,140,140,140,140,779,0,33,37,4,140,82229
