"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1734088464","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1734088465","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,6,0,38,41,21,56,71386
"1734088466","3","","Aggregated",0.00,0.00,46,61,63,75,83,88,88,88,88,88,88,88,18,0,46,47,7,87,93109
"1734088467","4","","Aggregated",4.00,0.00,39,48,55,61,82,88,98,98,98,98,98,98,39,0,40,40,4,97,82892
"1734088468","4","","Aggregated",7.00,0.00,41,53,56,60,75,84,98,130,130,130,130,130,69,0,43,41,4,133,85151
"1734088469","4","","Aggregated",11.33,0.00,45,54,60,63,81,94,100,130,130,130,130,130,107,0,45,44,4,133,94745
"1734088470","4","","Aggregated",15.25,0.00,43,53,60,63,80,94,130,130,140,140,140,140,132,0,43,43,4,144,92190
"1734088471","4","","Aggregated",18.80,0.00,41,53,60,63,78,90,100,130,140,140,140,140,157,0,41,42,4,144,90427
"1734088472","4","","Aggregated",20.83,0.00,41,53,59,63,77,89,120,130,140,140,140,140,186,0,41,42,4,144,92916
"1734088473","4","","Aggregated",21.57,0.00,41,52,58,62,77,88,100,130,140,140,140,140,213,0,41,42,4,144,93296
"1734088474","4","","Aggregated",21.88,0.00,40,51,57,62,75,84,100,130,140,140,140,140,243,0,40,41,4,144,93169
"1734088475","4","","Aggregated",22.78,0.00,39,50,56,62,75,83,100,130,140,140,140,140,267,0,40,41,4,144,92646
"1734088476","4","","Aggregated",23.20,0.00,39,50,56,61,75,81,100,130,140,140,140,140,301,0,39,40,4,144,92150
"1734088477","4","","Aggregated",25.60,0.00,38,49,55,61,75,81,100,130,140,140,140,140,331,0,39,39,4,144,91164
"1734088478","4","","Aggregated",27.80,0.00,36,47,54,57,74,80,97,120,140,140,140,140,362,0,39,39,4,144,90179
"1734088479","4","","Aggregated",28.80,0.00,35,45,53,55,71,78,89,110,140,140,140,140,390,0,38,38,4,144,87819
"1734088480","4","","Aggregated",28.70,0.00,35,45,52,54,70,78,83,97,120,120,120,120,415,0,36,38,4,144,86644
"1734088481","4","","Aggregated",28.60,0.00,32,43,50,54,68,78,83,94,110,110,110,110,442,0,36,38,4,144,85762
"1734088482","4","","Aggregated",28.20,0.00,32,43,49,53,67,79,83,94,110,110,110,110,466,0,36,38,4,144,85722
"1734088483","4","","Aggregated",28.10,0.00,32,42,49,52,67,79,85,95,110,110,110,110,494,0,36,37,4,144,85669
"1734088484","4","","Aggregated",28.30,0.00,32,43,49,53,67,80,94,97,130,130,130,130,517,0,36,38,4,144,86215
"1734088485","4","","Aggregated",28.00,0.00,32,43,48,51,65,80,95,110,130,130,130,130,548,0,36,38,4,144,86567
"1734088486","4","","Aggregated",27.70,0.00,33,44,49,53,68,82,97,110,130,130,130,130,574,0,36,38,4,144,86367
"1734088487","4","","Aggregated",27.40,0.00,33,44,48,51,66,81,97,110,130,130,130,130,602,0,36,37,4,144,85524
"1734088488","4","","Aggregated",26.80,0.00,33,44,48,52,66,83,97,110,130,130,130,130,637,0,36,37,4,144,85255
"1734088489","4","","Aggregated",26.50,0.00,35,45,50,53,66,82,97,110,130,130,130,130,660,0,36,37,4,144,85168
"1734088490","4","","Aggregated",27.60,0.00,36,46,52,54,69,82,97,110,130,130,130,130,690,0,36,37,3,144,85497
"1734088491","4","","Aggregated",27.00,0.00,38,48,53,55,69,81,97,110,130,130,130,130,722,0,36,38,3,144,85548
"1734088492","4","","Aggregated",26.70,0.00,37,47,53,54,66,76,97,110,130,130,130,130,747,0,36,38,3,144,85192
"1734088493","4","","Aggregated",27.70,0.00,37,48,53,56,69,83,99,110,120,120,120,120,773,0,36,38,3,144,85663
"1734088494","4","","Aggregated",27.80,0.00,39,48,54,58,70,83,96,110,140,140,140,140,801,0,37,38,3,144,87104
"1734088495","4","","Aggregated",27.70,0.00,39,49,54,58,70,84,99,110,140,140,140,140,828,0,37,38,3,144,87079
"1734088496","4","","Aggregated",28.30,0.00,40,50,55,59,72,88,100,110,140,140,140,140,859,0,38,38,3,144,88230
"1734088497","4","","Aggregated",28.10,0.00,42,51,56,61,74,88,100,110,140,140,140,140,886,0,38,38,3,144,88339
"1734088498","4","","Aggregated",28.20,0.00,42,51,56,61,74,89,100,110,140,140,140,140,910,0,38,38,3,144,88259
"1734088499","4","","Aggregated",28.20,0.00,40,50,56,60,75,89,100,110,140,140,140,140,941,0,38,38,3,144,88489
"1734088500","4","","Aggregated",27.40,0.00,39,49,56,62,75,89,100,110,140,140,140,140,973,0,37,38,3,144,88278
